config,diet_id,seed,weekday,weekday_name,failed,single_sub_meals,score,pool_breakfast,pool_lunch,pool_dinner,pool_snack,used_relaxed_any
FIXED_SIGNALS,synth_1500_extremely_low_carbs,4,1,Tue,False,1,135.0,2,8,7,2,
FIXED_SIGNALS,synth_1500_extremely_low_carbs,4,2,Wed,False,1,128.0,1,6,5,1,
FIXED_SIGNALS,synth_1500_extremely_low_carbs,4,3,Thu,False,0,144.0,4,4,3,2,
FIXED_SIGNALS,synth_1500_extremely_low_carbs,4,4,Fri,False,1,122.0,4,2,1,2,
FIXED_SIGNALS,synth_2000_extremely_high_fat,0,0,Mon,False,0,210.5,4,10,9,2,
FIXED_SIGNALS,synth_2000_extremely_high_fat,0,1,Tue,False,1,135.0,2,8,7,2,
FIXED_SIGNALS,synth_2000_extremely_high_fat,0,2,Wed,False,1,128.0,1,6,5,1,
FIXED_SIGNALS,synth_2000_extremely_high_fat,0,3,Thu,False,0,148.5,4,4,3,2,
FIXED_SIGNALS,synth_2000_extremely_high_fat,0,4,Fri,False,1,109.0,4,2,1,3,
FIXED_SIGNALS,synth_2000_extremely_high_fat,1,0,Mon,False,0,210.5,4,10,9,2,
FIXED_SIGNALS,synth_2000_extremely_high_fat,1,1,Tue,False,1,135.0,2,8,7,2,
FIXED_SIGNALS,synth_2000_extremely_high_fat,1,2,Wed,False,1,128.0,1,6,5,1,
FIXED_SIGNALS,synth_2000_extremely_high_fat,1,3,Thu,False,0,144.0,4,4,3,2,
FIXED_SIGNALS,synth_2000_extremely_high_fat,1,4,Fri,False,1,113.5,4,2,1,3,
FIXED_SIGNALS,synth_2000_extremely_high_fat,2,0,Mon,False,0,210.5,4,10,9,2,
FIXED_SIGNALS,synth_2000_extremely_high_fat,2,1,Tue,False,1,128.0,2,8,7,2,
FIXED_SIGNALS,synth_2000_extremely_high_fat,2,2,Wed,False,1,128.0,1,6,5,1,
FIXED_SIGNALS,synth_2000_extremely_high_fat,2,3,Thu,False,0,151.0,4,4,3,2,
FIXED_SIGNALS,synth_2000_extremely_high_fat,2,4,Fri,False,1,122.0,4,2,1,2,
FIXED_SIGNALS,synth_2000_extremely_high_fat,3,0,Mon,False,0,210.5,4,10,9,2,
FIXED_SIGNALS,synth_2000_extremely_high_fat,3,1,Tue,False,1,128.0,2,8,7,2,
FIXED_SIGNALS,synth_2000_extremely_high_fat,3,2,Wed,False,1,128.0,1,6,5,1,
FIXED_SIGNALS,synth_2000_extremely_high_fat,3,3,Thu,False,0,155.5,4,4,3,2,
FIXED_SIGNALS,synth_2000_extremely_high_fat,3,4,Fri,False,1,109.0,4,2,1,3,
FIXED_SIGNALS,synth_2000_extremely_high_fat,4,0,Mon,False,0,210.5,4,10,9,2,
FIXED_SIGNALS,synth_2000_extremely_high_fat,4,1,Tue,False,1,128.0,2,8,7,2,
FIXED_SIGNALS,synth_2000_extremely_high_fat,4,2,Wed,False,1,135.0,1,6,5,1,
FIXED_SIGNALS,synth_2000_extremely_high_fat,4,3,Thu,False,0,148.5,4,4,3,2,
FIXED_SIGNALS,synth_2000_extremely_high_fat,4,4,Fri,False,1,117.5,4,2,1,2,
FIXED_SIGNALS,synth_2500_extremely_low_fat,0,0,Mon,False,0,191.5,4,10,9,4,
FIXED_SIGNALS,synth_2500_extremely_low_fat,0,1,Tue,False,1,154.0,2,8,7,4,
FIXED_SIGNALS,synth_2500_extremely_low_fat,0,2,Wed,False,1,128.0,1,6,5,3,
FIXED_SIGNALS,synth_2500_extremely_low_fat,0,3,Thu,False,1,125.0,4,4,3,2,
FIXED_SIGNALS,synth_2500_extremely_low_fat,0,4,Fri,False,1,103.0,4,2,1,1,
FIXED_SIGNALS,synth_2500_extremely_low_fat,1,0,Mon,False,0,210.5,4,10,9,4,
FIXED_SIGNALS,synth_2500_extremely_low_fat,1,1,Tue,False,1,128.0,2,8,7,4,
FIXED_SIGNALS,synth_2500_extremely_low_fat,1,2,Wed,False,1,128.0,1,6,5,3,
FIXED_SIGNALS,synth_2500_extremely_low_fat,1,3,Thu,False,1,136.5,4,4,3,2,
FIXED_SIGNALS,synth_2500_extremely_low_fat,1,4,Fri,False,1,98.5,4,2,1,1,
FIXED_SIGNALS,synth_2500_extremely_low_fat,2,0,Mon,False,0,210.5,4,10,9,4,
FIXED_SIGNALS,synth_2500_extremely_low_fat,2,1,Tue,False,1,128.0,2,8,7,4,
FIXED_SIGNALS,synth_2500_extremely_low_fat,2,2,Wed,False,1,135.0,1,6,5,3,
FIXED_SIGNALS,synth_2500_extremely_low_fat,2,3,Thu,False,1,129.5,4,4,3,2,
FIXED_SIGNALS,synth_2500_extremely_low_fat,2,4,Fri,False,1,98.5,4,2,1,1,
FIXED_SIGNALS,synth_2500_extremely_low_fat,3,0,Mon,False,0,191.5,4,10,9,4,
FIXED_SIGNALS,synth_2500_extremely_low_fat,3,1,Tue,False,1,147.0,2,8,7,4,
FIXED_SIGNALS,synth_2500_extremely_low_fat,3,2,Wed,False,1,135.0,1,6,5,3,
FIXED_SIGNALS,synth_2500_extremely_low_fat,3,3,Thu,False,1,129.5,4,4,3,2,
FIXED_SIGNALS,synth_2500_extremely_low_fat,3,4,Fri,False,1,98.5,4,2,1,1,
FIXED_SIGNALS,synth_2500_extremely_low_fat,4,0,Mon,False,0,210.5,4,10,9,5,
FIXED_SIGNALS,synth_2500_extremely_low_fat,4,1,Tue,False,1,128.0,2,8,8,4,
FIXED_SIGNALS,synth_2500_extremely_low_fat,4,2,Wed,False,1,135.0,1,6,5,3,
FIXED_SIGNALS,synth_2500_extremely_low_fat,4,3,Thu,False,1,129.5,4,4,3,2,
FIXED_SIGNALS,synth_2500_extremely_low_fat,4,4,Fri,False,1,98.5,4,2,1,1,
FIXED_SIGNALS,synth_3000_extremely_high_protein,0,0,Mon,False,0,210.5,4,10,9,4,
FIXED_SIGNALS,synth_3000_extremely_high_protein,0,1,Tue,False,1,135.0,2,8,7,4,
FIXED_SIGNALS,synth_3000_extremely_high_protein,0,2,Wed,False,1,121.0,1,6,5,3,
FIXED_SIGNALS,synth_3000_extremely_high_protein,0,3,Thu,False,1,136.5,4,4,3,2,
FIXED_SIGNALS,synth_3000_extremely_high_protein,0,4,Fri,False,1,98.5,4,2,1,1,
FIXED_SIGNALS,synth_3000_extremely_high_protein,1,0,Mon,False,0,210.5,4,10,9,4,
FIXED_SIGNALS,synth_3000_extremely_high_protein,1,1,Tue,False,1,128.0,2,8,7,4,
FIXED_SIGNALS,synth_3000_extremely_high_protein,1,2,Wed,False,1,135.0,1,6,5,3,
FIXED_SIGNALS,synth_3000_extremely_high_protein,1,3,Thu,False,1,129.5,4,4,3,2,
FIXED_SIGNALS,synth_3000_extremely_high_protein,1,4,Fri,False,1,98.5,4,2,1,1,
FIXED_SIGNALS,synth_3000_extremely_high_protein,2,0,Mon,False,1,191.5,4,10,9,4,
FIXED_SIGNALS,synth_3000_extremely_high_protein,2,1,Tue,False,1,135.0,3,8,7,3,
FIXED_SIGNALS,synth_3000_extremely_high_protein,2,2,Wed,False,1,128.0,2,6,6,2,
FIXED_SIGNALS,synth_3000_extremely_high_protein,2,3,Thu,False,1,110.5,1,4,3,1,
FIXED_SIGNALS,synth_3000_extremely_high_protein,2,4,Fri,False,0,136.5,4,2,1,4,
FIXED_SIGNALS,synth_3000_extremely_high_protein,3,0,Mon,False,0,210.5,4,10,9,4,
FIXED_SIGNALS,synth_3000_extremely_high_protein,3,1,Tue,False,1,128.0,2,8,7,4,
FIXED_SIGNALS,synth_3000_extremely_high_protein,3,2,Wed,False,1,135.0,1,6,5,3,
FIXED_SIGNALS,synth_3000_extremely_high_protein,3,3,Thu,False,1,129.5,4,4,3,2,
FIXED_SIGNALS,synth_3000_extremely_high_protein,3,4,Fri,False,1,98.5,4,2,1,1,
FIXED_SIGNALS,synth_3000_extremely_high_protein,4,0,Mon,False,1,191.5,4,10,9,4,
FIXED_SIGNALS,synth_3000_extremely_high_protein,4,1,Tue,False,1,128.0,3,8,7,3,
FIXED_SIGNALS,synth_3000_extremely_high_protein,4,2,Wed,False,1,135.0,2,6,6,2,
FIXED_SIGNALS,synth_3000_extremely_high_protein,4,3,Thu,False,1,110.5,1,4,3,1,
FIXED_SIGNALS,synth_3000_extremely_high_protein,4,4,Fri,False,0,136.5,4,2,1,4,
FIXED_SIGNALS,synth_3500_extremely_low_protein,0,0,Mon,False,0,210.5,4,10,9,4,
FIXED_SIGNALS,synth_3500_extremely_low_protein,0,1,Tue,False,1,135.0,2,8,7,4,
FIXED_SIGNALS,synth_3500_extremely_low_protein,0,2,Wed,False,1,128.0,1,6,5,3,
FIXED_SIGNALS,synth_3500_extremely_low_protein,0,3,Thu,False,1,129.5,4,4,3,2,
FIXED_SIGNALS,synth_3500_extremely_low_protein,0,4,Fri,False,1,98.5,4,2,1,1,
FIXED_SIGNALS,synth_3500_extremely_low_protein,1,0,Mon,False,1,191.5,4,10,9,4,
FIXED_SIGNALS,synth_3500_extremely_low_protein,1,1,Tue,False,1,128.0,3,8,7,3,
FIXED_SIGNALS,synth_3500_extremely_low_protein,1,2,Wed,False,1,128.0,2,6,5,2,
FIXED_SIGNALS,synth_3500_extremely_low_protein,1,3,Thu,False,1,117.5,1,4,3,1,
FIXED_SIGNALS,synth_3500_extremely_low_protein,1,4,Fri,False,0,136.5,4,2,1,4,
FIXED_SIGNALS,synth_3500_extremely_low_protein,2,0,Mon,False,0,191.5,4,10,9,4,
FIXED_SIGNALS,synth_3500_extremely_low_protein,2,1,Tue,False,1,147.0,2,8,7,4,
FIXED_SIGNALS,synth_3500_extremely_low_protein,2,2,Wed,False,1,135.0,1,6,5,3,
FIXED_SIGNALS,synth_3500_extremely_low_protein,2,3,Thu,False,1,129.5,4,4,3,2,
FIXED_SIGNALS,synth_3500_extremely_low_protein,2,4,Fri,False,1,98.5,4,2,1,1,
FIXED_SIGNALS,synth_3500_extremely_low_protein,3,0,Mon,False,0,191.5,4,10,9,4,
FIXED_SIGNALS,synth_3500_extremely_low_protein,3,1,Tue,False,1,147.0,2,8,8,4,
FIXED_SIGNALS,synth_3500_extremely_low_protein,3,2,Wed,False,1,128.0,1,6,5,3,
FIXED_SIGNALS,synth_3500_extremely_low_protein,3,3,Thu,False,1,132.0,4,4,3,2,
FIXED_SIGNALS,synth_3500_extremely_low_protein,3,4,Fri,False,1,103.0,4,2,1,1,
FIXED_SIGNALS,synth_3500_extremely_low_protein,4,0,Mon,False,0,210.5,4,10,9,4,
FIXED_SIGNALS,synth_3500_extremely_low_protein,4,1,Tue,False,1,128.0,2,8,8,4,
FIXED_SIGNALS,synth_3500_extremely_low_protein,4,2,Wed,False,1,128.0,1,6,5,3,
FIXED_SIGNALS,synth_3500_extremely_low_protein,4,3,Thu,False,1,132.0,4,4,3,2,
FIXED_SIGNALS,synth_3500_extremely_low_protein,4,4,Fri,False,1,103.0,4,2,1,1,
HOLISTIC,person_1,0,0,Mon,False,1,162.0,,,,,
HOLISTIC,person_1,0,1,Tue,False,0,191.5,,,,,
HOLISTIC,person_1,0,2,Wed,False,1,162.5,,,,,
HOLISTIC,person_1,0,3,Thu,False,1,154.0,,,,,
HOLISTIC,person_1,0,4,Fri,False,1,128.0,,,,,
HOLISTIC,synth_1000_low_protein,0,0,Mon,False,1,155.0,,,,,
HOLISTIC,synth_1000_low_protein,0,1,Tue,False,0,184.5,,,,,
HOLISTIC,synth_1000_low_protein,0,2,Wed,False,1,162.5,,,,,
HOLISTIC,synth_1000_low_protein,0,3,Thu,False,1,154.0,,,,,
HOLISTIC,synth_1000_low_protein,0,4,Fri,False,1,128.0,,,,,
HOLISTIC,synth_1000_extremely_high_carbs,0,0,Mon,False,0,191.5,,,,,
HOLISTIC,synth_1000_extremely_high_carbs,0,1,Tue,False,1,162.0,,,,,
HOLISTIC,synth_1000_extremely_high_carbs,0,2,Wed,False,1,147.0,,,,,
HOLISTIC,synth_1000_extremely_high_carbs,0,3,Thu,False,1,147.0,,,,,
HOLISTIC,synth_1000_extremely_high_carbs,0,4,Fri,False,1,135.0,,,,,
HOLISTIC,synth_1500_extremely_low_carbs,0,0,Mon,False,1,155.0,,,,,
HOLISTIC,synth_1500_extremely_low_carbs,0,1,Tue,False,0,184.5,,,,,
HOLISTIC,synth_1500_extremely_low_carbs,0,2,Wed,False,1,162.5,,,,,
HOLISTIC,synth_1500_extremely_low_carbs,0,3,Thu,False,1,154.0,,,,,
HOLISTIC,synth_1500_extremely_low_carbs,0,4,Fri,False,1,128.0,,,,,
HOLISTIC,synth_2000_extremely_high_fat,0,0,Mon,False,1,155.0,,,,,
HOLISTIC,synth_2000_extremely_high_fat,0,1,Tue,False,0,184.5,,,,,
HOLISTIC,synth_2000_extremely_high_fat,0,2,Wed,False,1,162.5,,,,,
HOLISTIC,synth_2000_extremely_high_fat,0,3,Thu,False,1,154.0,,,,,
HOLISTIC,synth_2000_extremely_high_fat,0,4,Fri,False,1,128.0,,,,,
HOLISTIC,synth_2500_extremely_low_fat,0,0,Mon,False,0,191.5,,,,,
HOLISTIC,synth_2500_extremely_low_fat,0,1,Tue,False,1,162.0,,,,,
HOLISTIC,synth_2500_extremely_low_fat,0,2,Wed,False,1,147.0,,,,,
HOLISTIC,synth_2500_extremely_low_fat,0,3,Thu,False,1,147.0,,,,,
HOLISTIC,synth_2500_extremely_low_fat,0,4,Fri,False,1,135.0,,,,,
HOLISTIC,synth_3000_extremely_high_protein,0,0,Mon,False,1,155.0,,,,,
HOLISTIC,synth_3000_extremely_high_protein,0,1,Tue,False,0,184.5,,,,,
HOLISTIC,synth_3000_extremely_high_protein,0,2,Wed,False,1,162.5,,,,,
HOLISTIC,synth_3000_extremely_high_protein,0,3,Thu,False,1,154.0,,,,,
HOLISTIC,synth_3000_extremely_high_protein,0,4,Fri,False,1,128.0,,,,,
HOLISTIC,synth_3500_extremely_low_protein,0,0,Mon,False,0,210.5,,,,,
HOLISTIC,synth_3500_extremely_low_protein,0,1,Tue,False,1,181.0,,,,,
HOLISTIC,synth_3500_extremely_low_protein,0,2,Wed,False,1,128.0,,,,,
HOLISTIC,synth_3500_extremely_low_protein,0,3,Thu,False,1,128.0,,,,,
HOLISTIC,synth_3500_extremely_low_protein,0,4,Fri,False,1,121.0,,,,,
